Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      1.61     0.00    94980     0.00     0.00  RenjuAINegamax::Move* std::__uninitialized_move_if_noexcept_a<RenjuAINegamax::Move*, RenjuAINegamax::Move*, std::allocator<RenjuAINegamax::Move> >(RenjuAINegamax::Move*, RenjuAINegamax::Move*, RenjuAINegamax::Move*, std::allocator<RenjuAINegamax::Move>&)
  0.00      1.61     0.00    94980     0.00     0.00  RenjuAINegamax::Move* std::copy<std::move_iterator<RenjuAINegamax::Move*>, RenjuAINegamax::Move*>(std::move_iterator<RenjuAINegamax::Move*>, std::move_iterator<RenjuAINegamax::Move*>, RenjuAINegamax::Move*)
  0.00      1.61     0.00    85680     0.00     0.00  std::_Niter_base<__gnu_cxx::__normal_iterator<RenjuAINegamax::Move*, std::vector<RenjuAINegamax::Move, std::allocator<RenjuAINegamax::Move> > > >::iterator_type std::__niter_base<__gnu_cxx::__normal_iterator<RenjuAINegamax::Move*, std::vector<RenjuAINegamax::Move, std::allocator<RenjuAINegamax::Move> > > >(__gnu_cxx::__normal_iterator<RenjuAINegamax::Move*, std::vector<RenjuAINegamax::Move, std::allocator<RenjuAINegamax::Move> > >)
  0.00      1.61     0.00    72058     0.00     0.00  __gnu_cxx::__normal_iterator<RenjuAINegamax::Move*, std::vector<RenjuAINegamax::Move, std::allocator<RenjuAINegamax::Move> > >::operator-(long) const
  0.00      1.61     0.00    72058     0.00     0.00  void std::__move_median_to_first<__gnu_cxx::__normal_iterator<RenjuAINegamax::Move*, std::vector<RenjuAINegamax::Move, std::allocator<RenjuAINegamax::Move> > >, __gnu_cxx::__ops::_Iter_less_iter>(__gnu_cxx::__normal_iterator<RenjuAINegamax::Move*, std::vector<RenjuAINegamax::Move, std::allocator<RenjuAINegamax::Move> > >, __gnu_cxx::__normal_iterator<RenjuAINegamax::Move*, std::vector<RenjuAINegamax::Move, std::allocator<RenjuAINegamax::Move> > >, __gnu_cxx::__normal_iterator<RenjuAINegamax::Move*, std::vector<RenjuAINegamax::Move, std::allocator<RenjuAINegamax::Move> > >, __gnu_cxx::__normal_iterator<RenjuAINegamax::Move*, std::vector<RenjuAINegamax::Move, std::allocator<RenjuAINegamax::Move> > >, __gnu_cxx::__ops::_Iter_less_iter)
  0.00      1.61     0.00    72058     0.00     0.00  __gnu_cxx::__normal_iterator<RenjuAINegamax::Move*, std::vector<RenjuAINegamax::Move, std::allocator<RenjuAINegamax::Move> > > std::__unguarded_partition_pivot<__gnu_cxx::__normal_iterator<RenjuAINegamax::Move*, std::vector<RenjuAINegamax::Move, std::allocator<RenjuAINegamax::Move> > >, __gnu_cxx::__ops::_Iter_less_iter>(__gnu_cxx::__normal_iterator<RenjuAINegamax::Move*, std::vector<RenjuAINegamax::Move, std::allocator<RenjuAINegamax::Move> > >, __gnu_cxx::__normal_iterator<RenjuAINegamax::Move*, std::vector<RenjuAINegamax::Move, std::allocator<RenjuAINegamax::Move> > >, __gnu_cxx::__ops::_Iter_less_iter)
  0.00      1.61     0.00    63371     0.00     0.00  std::vector<RenjuAINegamax::Move, std::allocator<RenjuAINegamax::Move> >::operator[](unsigned long)
  0.00      1.61     0.00    57120     0.00     0.00  std::_Iter_base<__gnu_cxx::__normal_iterator<RenjuAINegamax::Move*, std::vector<RenjuAINegamax::Move, std::allocator<RenjuAINegamax::Move> > >, false>::_S_base(__gnu_cxx::__normal_iterator<RenjuAINegamax::Move*, std::vector<RenjuAINegamax::Move, std::allocator<RenjuAINegamax::Move> > >)
  0.00      1.61     0.00    57120     0.00     0.00  std::_Miter_base<__gnu_cxx::__normal_iterator<RenjuAINegamax::Move*, std::vector<RenjuAINegamax::Move, std::allocator<RenjuAINegamax::Move> > > >::iterator_type std::__miter_base<__gnu_cxx::__normal_iterator<RenjuAINegamax::Move*, std::vector<RenjuAINegamax::Move, std::allocator<RenjuAINegamax::Move> > > >(__gnu_cxx::__normal_iterator<RenjuAINegamax::Move*, std::vector<RenjuAINegamax::Move, std::allocator<RenjuAINegamax::Move> > >)
  0.00      1.61     0.00    28560     0.00     0.00  RenjuAINegamax::Move* std::__copy_move_backward<true, true, std::random_access_iterator_tag>::__copy_move_b<RenjuAINegamax::Move>(RenjuAINegamax::Move const*, RenjuAINegamax::Move const*, RenjuAINegamax::Move*)
